artist,song_title,mfccs_mean
Phatteman,Yesto Pani Hundo Raichha,"[-312.1775207519531, 95.14419555664062, -25.204378128051758, 47.878326416015625, 8.936842918395996, 7.708637714385986, -4.147790431976318, -8.608119010925293, -12.822182655334473, -34.297698974609375, -5.648764133453369, -12.415425300598145, -19.504119873046875]"
Prem Dhoj Pradhan,Lekhideu Timro Nam,"[-329.0453796386719, 85.70354461669922, -81.84383392333984, -8.956496238708496, 0.22996391355991364, 5.916491985321045, -10.74710464477539, -21.325698852539062, -9.444172859191895, -23.7215518951416, -22.363359451293945, -19.91145896911621, -8.817432403564453]"
Rachana Dahal,Aagya - Official,"[-362.2796630859375, 122.95887756347656, -74.23158264160156, -40.166751861572266, -10.78330135345459, -15.748970031738281, -23.62837791442871, 11.074268341064453, -4.151339054107666, -36.56517028808594, 0.7079161405563354, -2.149028778076172, -16.11709213256836]"
Rachana Dahal,Bhumari,"[-369.8247375488281, 101.75811767578125, -46.653839111328125, -19.90977668762207, -17.562946319580078, -6.632620334625244, -14.253686904907227, 11.28021240234375, 1.8308987617492676, -38.46870040893555, -5.227397918701172, -10.753283500671387, -19.91587257385254]"
Rachana Dahal,Daagbatti,"[-387.02239990234375, 100.89990997314453, -33.98265075683594, -7.387705326080322, -25.53296661376953, -7.540114879608154, -20.48310089111328, 2.4132273197174072, 2.5943241119384766, -28.38126564025879, 8.582313537597656, -7.24990177154541, -18.090761184692383]"
Rachana Dahal,Hey Bhagwan,"[-382.2175598144531, 115.83872985839844, -36.85107421875, -9.345311164855957, -12.591634750366211, -1.95700204372406, -19.25193214416504, 4.146269798278809, -1.6761233806610107, -29.361495971679688, 8.049771308898926, -10.70698356628418, -19.40678596496582]"
Rachana Dahal,Soch,"[-355.9278259277344, 112.99038696289062, -58.51772689819336, -25.529985427856445, -11.016666412353516, -7.679840564727783, -27.316898345947266, 12.052136421203613, -3.442805290222168, -38.60108947753906, 2.8157899379730225, -11.12033462524414, -15.652399063110352]"
Rajesh Payal Rai,Sagarsari Chokho Maya,"[-285.621826171875, 95.92761993408203, -69.19013977050781, 41.30261993408203, -23.514022827148438, 8.387028694152832, -13.896529197692871, -13.47268009185791, -8.092680931091309, -37.72636795043945, -0.1626477986574173, -19.61781883239746, -9.040839195251465]"
Raju Lama,Timilai Dekhera,"[-287.34075927734375, 115.42000579833984, -60.13672637939453, 33.93993377685547, -28.707956314086914, -14.929891586303711, -13.476033210754395, -9.711723327636719, -7.7953667640686035, -32.04830551147461, -6.3362016677856445, -16.837190628051758, -6.042409420013428]"
Raju Singh,Bigrau Jasto Lagchha,"[-283.3960876464844, 69.56925201416016, -60.78945541381836, 59.48409652709961, 2.3831698894500732, 27.958742141723633, -8.58615493774414, -10.674920082092285, 9.889785766601562, -18.1085205078125, 3.915630578994751, -20.95352554321289, -5.264978885650635]"
Rohit John Chettri,Bistarai,"[-290.1007080078125, 90.93653106689453, -60.77978515625, 49.85816955566406, -19.420503616333008, 34.405174255371094, -10.393776893615723, -30.803077697753906, 13.384718894958496, -22.86680030822754, -10.31263542175293, -20.93560028076172, -7.470154762268066]"
Rohit John Chettri,Pani Paryo,"[-285.95391845703125, 143.0394744873047, -53.348480224609375, 15.749653816223145, -15.571025848388672, 5.011306285858154, -11.345256805419922, -21.338808059692383, 5.596029758453369, -19.038904190063477, -19.86054229736328, -14.036883354187012, -10.140824317932129]"
Rohit John Chettri,Timra Dui Aankhama,"[-282.48834228515625, 127.6288070678711, -46.70535659790039, 22.05979347229004, -22.244050979614258, -1.7309080362319946, -11.696005821228027, -23.64621925354004, 3.387486457824707, -20.525882720947266, -19.69806671142578, -8.899479866027832, -6.088316917419434]"
Sabin Rai,Akorinchhu,"[-306.56915283203125, 106.6111831665039, -83.77179718017578, 14.336127281188965, -32.50083923339844, -10.704797744750977, -27.506582260131836, -11.851130485534668, 10.430278778076172, -35.471614837646484, -6.772111892700195, -2.443923234939575, -7.225479602813721]"
Sabin Rai,Daya Baya,"[-334.24310302734375, 98.05482482910156, -69.01502227783203, 6.9936933517456055, -46.47244644165039, -18.294357299804688, -12.635765075683594, -17.077285766601562, -8.466364860534668, -17.875757217407227, -1.65823233127594, -17.293703079223633, -2.9486451148986816]"
Sabin Rai,Kahan Dekhi Kahan Samma,"[-365.95526123046875, 77.54197692871094, -68.57440948486328, 25.577497482299805, -52.451595306396484, -12.446325302124023, -11.478826522827148, -16.839778900146484, -4.936154842376709, -25.23241424560547, 0.41655609011650085, -13.273641586303711, 1.5739355087280273]"
Sabin Rai,Malai Angali Deu,"[-250.84300231933594, 75.09945678710938, -72.27912902832031, 47.079402923583984, -61.91416549682617, 4.071028232574463, -10.70876407623291, -21.862112045288086, 1.4716646671295166, -35.78605270385742, 6.998647689819336, -11.633405685424805, -7.4739603996276855]"
Sabin Rai_The Pharaoh,Paisa,"[-283.661865234375, 103.98726654052734, -51.15005111694336, 13.422172546386719, -46.7083740234375, 4.704615592956543, -13.273475646972656, -10.79050064086914, -0.8293120861053467, -36.843570709228516, -8.965991973876953, -21.714452743530273, -9.283119201660156]"
Sabin Rai_The Pharaoh,Samarpan,"[-334.71514892578125, 103.69895935058594, -43.51984786987305, 11.693690299987793, -30.869247436523438, -12.308805465698242, 0.12393651157617569, -0.2594905197620392, -8.950325012207031, -24.732784271240234, -10.03900146484375, -16.58086395263672, -2.1741011142730713]"
Sabin Rai_The Pharaoh,Samjhanchu,"[-303.6776123046875, 93.12255096435547, -57.10826873779297, 25.569074630737305, -28.36705780029297, -9.212574005126953, -4.951993942260742, -1.9769062995910645, -4.479101657867432, -28.88276481628418, -10.383102416992188, -18.511316299438477, -4.455257892608643]"
Samir Shrestha,Bujhideu,"[-336.24224853515625, 147.4613037109375, -35.26570129394531, -3.5386338233947754, -17.549482345581055, 12.75461196899414, -22.687328338623047, -13.696823120117188, 4.8538126945495605, -36.038265228271484, -8.307310104370117, -9.542016983032227, -18.51980209350586]"
Samir Shrestha,Chaar Dewar,"[-366.3089904785156, 168.6129913330078, -33.78361129760742, -31.620243072509766, 16.376201629638672, 12.509359359741211, -11.689153671264648, -12.160857200622559, -23.44917869567871, -34.38581848144531, -16.260162353515625, -17.08112907409668, -19.224327087402344]"
Samir Shrestha,Hera Na,"[-320.39080810546875, 104.86731719970703, -62.756160736083984, 38.823246002197266, 13.719034194946289, 13.938347816467285, -21.27906036376953, -6.167623519897461, 14.25899600982666, -36.54220962524414, -13.931253433227539, -12.751252174377441, -23.967803955078125]"
Samir Shrestha,Thamana Haat,"[-269.6798095703125, 134.41404724121094, -59.95671463012695, 4.786466598510742, -33.06654739379883, 20.244524002075195, -26.232189178466797, -25.571264266967773, 16.76474952697754, -44.00069046020508, -17.38232421875, -3.295348882675171, -12.581610679626465]"
Sanjay Shrestha,Maya Meri Maya,"[-422.46234130859375, 71.956298828125, 10.169717788696289, 43.15595245361328, -0.07807595282793045, 13.331355094909668, -23.493154525756836, -10.122491836547852, 4.41198205947876, -38.649505615234375, -8.402644157409668, -5.925457000732422, -13.606083869934082]"
SD Yogi,Suna Suna Sundari (From Nango Gaun),"[-350.3133239746094, 88.4240493774414, -48.871334075927734, 24.00126075744629, -9.423734664916992, 24.546260833740234, -18.53422737121582, -13.659928321838379, -5.372058868408203, -30.618417739868164, 4.87355375289917, -21.470542907714844, -11.417743682861328]"
Shiva Pariyar,Aansu Ko Artha,"[-296.199951171875, 109.2945327758789, -54.07207107543945, 28.481517791748047, -29.14179801940918, -1.297502875328064, -6.6148858070373535, -16.069665908813477, 0.09341314435005188, -32.799468994140625, -15.81060791015625, -12.718186378479004, -7.41312837600708]"
Shiva Pariyar,Fewa Talma Saili,"[-281.0447082519531, 123.8316421508789, -62.4155158996582, 29.279016494750977, -0.7276580333709717, 15.202784538269043, -22.35332679748535, -17.606924057006836, 6.280598163604736, -33.918113708496094, -12.330758094787598, -7.204601764678955, -1.0026650428771973]"
Shiva Pariyar,Fulai Fula Dinchhau ki - Remake Version,"[-296.0398864746094, 108.99159240722656, -51.46953582763672, 37.020912170410156, -32.02373123168945, 3.354147434234619, -27.038766860961914, -21.767847061157227, 0.101398766040802, -38.444393157958984, -8.530162811279297, -18.689409255981445, -4.986334323883057]"
Shiva Pariyar,Mangali,"[-310.15521240234375, 96.43972778320312, -52.871482849121094, 37.80230712890625, 3.1356396675109863, 17.59889793395996, -24.768455505371094, -14.79649829864502, 10.189270973205566, -31.55111312866211, -10.196186065673828, -14.111345291137695, -8.764689445495605]"
Shiva Pariyar,Nabheti Nabheti,"[-291.3855285644531, 70.34595489501953, -51.57606887817383, 65.41759490966797, -5.727505207061768, 9.507723808288574, -15.607483863830566, -12.211775779724121, 6.191848278045654, -29.160064697265625, -10.204244613647461, -18.88056755065918, -7.007571697235107]"
