artist,song_title,mfccs_mean
Shiva Pariyar,Pilayo Sathile,"[-258.470458984375, 112.27814483642578, -96.13448333740234, 35.06509780883789, -15.883231163024902, 14.954042434692383, -27.06151008605957, -27.40353775024414, 0.5900359153747559, -42.6741828918457, -12.546677589416504, -16.557483673095703, -4.05808162689209]"
Sugam Pokharel,Dashain Tihar,"[-274.3688049316406, 130.02413940429688, -66.52725219726562, 33.64177703857422, -24.586278915405273, 15.851880073547363, -17.731855392456055, -22.03402328491211, 11.059891700744629, -36.75414276123047, -22.287084579467773, -11.101192474365234, 5.558515548706055]"
Sugam Pokharel,Kasham Ho Kasham,"[-278.688232421875, 100.49358367919922, -52.456520080566406, 24.19508934020996, -37.952537536621094, 5.357965469360352, -14.106062889099121, -9.625481605529785, 0.15435537695884705, -34.1168098449707, -5.748042583465576, -27.94729232788086, -5.941043853759766]"
Sugam Pokharel,Pheri Tyo Din,"[-241.9446563720703, 85.2769546508789, -94.82234954833984, 52.801918029785156, -48.26555252075195, -5.863661289215088, -10.909564971923828, -9.61218547821045, 10.979496955871582, -42.309837341308594, -8.205050468444824, -6.613278388977051, 0.9664524793624878]"
Sugam Pokharel,Runna Bhanthe,"[-238.72975158691406, 107.81256866455078, -86.7101058959961, 23.839250564575195, -24.708829879760742, 1.6115005016326904, -17.99302864074707, -18.984895706176758, -1.0356345176696777, -27.123998641967773, -5.36547327041626, -13.85376262664795, -0.7994043231010437]"
Sugam Pokharel,Timi Royeko Pal,"[-281.3170166015625, 107.87580871582031, -66.90228271484375, 14.6781587600708, -34.43165969848633, 2.1161515712738037, -22.911170959472656, -21.150531768798828, -11.106413841247559, -39.10624694824219, -6.884986400604248, -26.720117568969727, -11.127496719360352]"
Sukmit Gurung,Chumera Sugandhi Phool,"[-386.7813720703125, 114.444580078125, -31.10231590270996, -4.980851650238037, 8.532649040222168, -10.675614356994629, -24.84668731689453, -2.2984821796417236, -12.847941398620605, -35.34849166870117, -14.224711418151855, -20.969425201416016, -16.345495223999023]"
Swoopna Suman,Je Chhau Timi,"[-295.97967529296875, 111.96649169921875, -33.85581588745117, 33.303123474121094, -15.44032096862793, 15.4027099609375, -13.539990425109863, -16.32989501953125, 0.9994857907295227, -25.146869659423828, -5.419011116027832, -22.712581634521484, -5.843703269958496]"
Swoopna Suman,Kasari Bhanu,"[-280.71380615234375, 132.11172485351562, -34.404808044433594, 17.679256439208984, -14.034985542297363, 14.584586143493652, -4.602603912353516, -17.849088668823242, -12.196610450744629, -26.7862491607666, -10.719734191894531, -19.31435775756836, -5.757521629333496]"
Swoopna Suman,Timro Aankha,"[-333.5143737792969, 112.87371063232422, 7.2094573974609375, 23.236909866333008, -12.772968292236328, 25.22538185119629, -6.173712730407715, -10.351189613342285, -1.991607904434204, -19.93263053894043, -7.820013999938965, -27.19753646850586, -6.887878894805908]"
Yogeshwor Amatya,Bhanchhan Lognemanchhe,"[-371.8388366699219, 85.44763946533203, -93.35274505615234, 41.12473678588867, -1.959329605102539, 3.4433062076568604, -6.215123653411865, -15.2135591506958, -5.759190559387207, -17.957494735717773, -6.300599098205566, -17.916013717651367, -1.821593999862671]"
Yogeshwor Amatya,Jaba Sandhya Hunchha,"[-255.8072967529297, 119.86454772949219, -77.26476287841797, 27.69809913635254, -31.108243942260742, 14.26876163482666, -10.795007705688477, -14.722350120544434, -4.474037170410156, -34.13794708251953, -1.29998779296875, -18.348079681396484, -0.00672284746542573]"
